"Day","Month","Year","Hour","Site","Parameter","Date__LT_","AQI","Raw_Conc_","Conc__Unit","Duration","QC_Name","AQI_Category","NowCast_Conc_","Date","tempC","windspeedKmph","weatherDesc","humidity","visibility","weatherDescNew","windspeed_Cat","humidity_cat"
1,12,2016,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:01:00:00",89,52,"UG/M3","1 Hr","Valid","Moderate",52,"01-12-2016",26,6,"Clear",89,10,"Clear","Low","Humid"
1,12,2016,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:10:00:00",83,27,"UG/M3","1 Hr","Valid","Moderate",37.4,"01-12-2016",30,12,"Sunny",68,10,"Sunny","High","Humid"
1,12,2016,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:11:00:00",81,27,"UG/M3","1 Hr","Valid","Moderate",32.2,"01-12-2016",31,11,"Partly cloudy",64,10,"Partly cloudy","High","Humid"
1,12,2016,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:12:00:00",80,37,"UG/M3","1 Hr","Valid","Moderate",34.6,"01-12-2016",32,10,"Partly cloudy",61,10,"Partly cloudy","High","Humid"
1,12,2016,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:13:00:00",77,34,"UG/M3","1 Hr","Valid","Moderate",34.3,"01-12-2016",31,10,"Partly cloudy",65,9,"Partly cloudy","High","Humid"
1,12,2016,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:14:00:00",74,19,"UG/M3","1 Hr","Valid","Moderate",26.6,"01-12-2016",31,11,"Moderate or heavy rain shower",69,8,"Moderate or heavy rain shower","High","Humid"
1,12,2016,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:15:00:00",71,17,"UG/M3","1 Hr","Valid","Moderate",21.8,"01-12-2016",30,11,"Moderate or heavy rain shower",74,7,"Moderate or heavy rain shower","High","Humid"
1,12,2016,16,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:16:00:00",71,10,"UG/M3","1 Hr","Valid","Moderate",15.9,"01-12-2016",29,11,"Moderate or heavy rain shower",76,7,"Moderate or heavy rain shower","High","Humid"
1,12,2016,17,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:17:00:00",73,12,"UG/M3","1 Hr","Valid","Moderate",14,"01-12-2016",28,10,"Moderate or heavy rain shower",79,7,"Moderate or heavy rain shower","High","Humid"
1,12,2016,18,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:18:00:00",73,11,"UG/M3","1 Hr","Valid","Moderate",12.5,"01-12-2016",27,10,"Moderate or heavy rain shower",82,7,"Moderate or heavy rain shower","High","Humid"
1,12,2016,19,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:19:00:00",72,15,"UG/M3","1 Hr","Valid","Moderate",13.7,"01-12-2016",26,10,"Moderate or heavy rain shower",82,8,"Moderate or heavy rain shower","High","Humid"
1,12,2016,2,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:02:00:00",87,42,"UG/M3","1 Hr","Valid","Moderate",46.5,"01-12-2016",25,7,"Clear",90,10,"Clear","Medium","Humid"
1,12,2016,20,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:20:00:00",72,17,"UG/M3","1 Hr","Valid","Moderate",15.4,"01-12-2016",26,11,"Partly cloudy",82,9,"Partly cloudy","High","Humid"
1,12,2016,21,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:21:00:00",71,17,"UG/M3","1 Hr","Valid","Moderate",16.2,"01-12-2016",26,12,"Partly cloudy",82,10,"Partly cloudy","High","Humid"
1,12,2016,22,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:22:00:00",69,11,"UG/M3","1 Hr","Valid","Moderate",13.6,"01-12-2016",25,11,"Partly cloudy",83,10,"Partly cloudy","High","Humid"
1,12,2016,23,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:23:00:00",71,9,"UG/M3","1 Hr","Valid","Moderate",11.3,"01-12-2016",25,10,"Partly cloudy",84,10,"Partly cloudy","High","Humid"
1,12,2016,3,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:03:00:00",85,29,"UG/M3","1 Hr","Valid","Moderate",36.7,"01-12-2016",25,8,"Clear",90,10,"Clear","Medium","Humid"
1,12,2016,4,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:04:00:00",84,29,"UG/M3","1 Hr","Valid","Moderate",32.9,"01-12-2016",25,8,"Clear",90,10,"Clear","Medium","Humid"
1,12,2016,5,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:05:00:00",84,18,"UG/M3","1 Hr","Valid","Moderate",24.9,"01-12-2016",25,9,"Clear",89,10,"Clear","Medium","Humid"
1,12,2016,6,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:06:00:00",83,24,"UG/M3","1 Hr","Valid","Moderate",24.4,"01-12-2016",25,9,"Sunny",89,10,"Sunny","Medium","Humid"
1,12,2016,7,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:07:00:00",83,24,"UG/M3","1 Hr","Valid","Moderate",24.2,"01-12-2016",26,10,"Sunny",83,10,"Sunny","High","Humid"
1,12,2016,8,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:08:00:00",83,39,"UG/M3","1 Hr","Valid","Moderate",31.6,"01-12-2016",28,12,"Sunny",78,10,"Sunny","High","Humid"
1,12,2016,9,"Ho Chi Minh City","PM2.5 - Principal","01DEC16:09:00:00",83,64,"UG/M3","1 Hr","Valid","Moderate",47.9,"01-12-2016",29,13,"Sunny",72,10,"Sunny","High","Humid"
1,12,2017,1,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:01:00:00",90,35,"UG/M3","1 Hr","Valid","Moderate",30.5,"01-12-2017",25,6,"Clear",75,10,"Clear","Low","Humid"
1,12,2017,10,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:10:00:00",145,60,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",53.4,"01-12-2017",32,5,"Sunny",59,10,"Sunny","Low","Normal"
1,12,2017,11,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:11:00:00",150,57,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",55.2,"01-12-2017",33,6,"Sunny",56,10,"Sunny","Low","Normal"
1,12,2017,12,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:12:00:00",152,60,"UG/M3","1 Hr","Valid","Unhealthy",57.6,"01-12-2017",33,6,"Sunny",53,10,"Sunny","Low","Normal"
1,12,2017,13,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:13:00:00",136,42,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",49.8,"01-12-2017",33,5,"Sunny",54,10,"Sunny","Low","Normal"
1,12,2017,14,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:14:00:00",114,32,"UG/M3","1 Hr","Valid","Unhealthy for Sensitive Groups",40.9,"01-12-2017",33,3,"Cloudy",54,10,"Cloudy","Low","Normal"
1,12,2017,15,"Ho Chi Minh City","PM2.5 - Principal","01DEC17:15:00:00",99,29,"UG/M3","1 Hr","Valid","Moderate",34.9,"01-12-2017",33,2,"Cloudy",55,10,"Cloudy","Low","Normal"
