Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 01:00 AM,2016,12,01,01,89,2,30.0,52.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 02:00 AM,2016,12,01,02,87,2,29.1,42.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 03:00 AM,2016,12,01,03,85,2,28.5,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 04:00 AM,2016,12,01,04,84,2,27.7,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 05:00 AM,2016,12,01,05,84,2,27.6,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 06:00 AM,2016,12,01,06,83,2,27.5,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 07:00 AM,2016,12,01,07,83,2,27.2,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 08:00 AM,2016,12,01,08,83,2,27.2,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 09:00 AM,2016,12,01,09,83,2,27.3,64.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 10:00 AM,2016,12,01,10,83,2,27.2,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 11:00 AM,2016,12,01,11,81,2,26.6,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 12:00 PM,2016,12,01,12,80,2,26.0,37.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 01:00 PM,2016,12,01,13,77,2,24.7,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 02:00 PM,2016,12,01,14,74,2,23.0,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 03:00 PM,2016,12,01,15,71,2,21.7,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 04:00 PM,2016,12,01,16,71,2,21.4,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 05:00 PM,2016,12,01,17,73,2,22.4,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 06:00 PM,2016,12,01,18,73,2,22.5,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 07:00 PM,2016,12,01,19,72,2,22.3,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 08:00 PM,2016,12,01,20,72,2,22.2,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 09:00 PM,2016,12,01,21,71,2,21.7,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 10:00 PM,2016,12,01,22,69,2,20.7,11.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-01 11:00 PM,2016,12,01,23,71,2,21.7,9.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 12:00 AM,2016,12,02,00,72,2,22.2,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 01:00 AM,2016,12,02,01,72,2,22.1,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 02:00 AM,2016,12,02,02,72,2,22.0,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 03:00 AM,2016,12,02,03,73,2,22.5,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 04:00 AM,2016,12,02,04,75,2,23.7,53.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 05:00 AM,2016,12,02,05,79,2,25.5,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 06:00 AM,2016,12,02,06,83,2,27.2,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 07:00 AM,2016,12,02,07,85,2,28.3,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 08:00 AM,2016,12,02,08,86,2,28.9,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 09:00 AM,2016,12,02,09,89,2,30.1,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 10:00 AM,2016,12,02,10,92,2,31.8,51.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 11:00 AM,2016,12,02,11,97,2,34.1,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 12:00 PM,2016,12,02,12,104,3,36.7,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 01:00 PM,2016,12,02,13,111,3,39.5,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 02:00 PM,2016,12,02,14,117,3,42.2,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 03:00 PM,2016,12,02,15,123,3,44.5,46.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 04:00 PM,2016,12,02,16,129,3,46.7,53.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 05:00 PM,2016,12,02,17,128,3,46.5,54.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 06:00 PM,2016,12,02,18,128,3,46.6,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 07:00 PM,2016,12,02,19,128,3,46.5,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 08:00 PM,2016,12,02,20,127,3,46.2,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 09:00 PM,2016,12,02,21,127,3,46.0,57.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 10:00 PM,2016,12,02,22,128,3,46.4,67.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-02 11:00 PM,2016,12,02,23,127,3,46.0,72.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 12:00 AM,2016,12,03,00,126,3,45.7,76.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 01:00 AM,2016,12,03,01,125,3,45.1,76.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 02:00 AM,2016,12,03,02,123,3,44.6,67.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 03:00 AM,2016,12,03,03,121,3,43.8,73.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 04:00 AM,2016,12,03,04,118,3,42.5,49.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 05:00 AM,2016,12,03,05,114,3,40.8,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 06:00 AM,2016,12,03,06,110,3,39.1,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 07:00 AM,2016,12,03,07,108,3,38.3,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 08:00 AM,2016,12,03,08,107,3,38.1,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 09:00 AM,2016,12,03,09,105,3,37.1,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 10:00 AM,2016,12,03,10,102,3,36.0,41.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 11:00 AM,2016,12,03,11,97,2,34.0,32.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 12:00 PM,2016,12,03,12,92,2,31.4,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 01:00 PM,2016,12,03,13,87,2,29.2,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 02:00 PM,2016,12,03,14,83,2,27.3,12.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 03:00 PM,2016,12,03,15,82,2,27.0,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 04:00 PM,2016,12,03,16,82,2,26.7,13.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 05:00 PM,2016,12,03,17,84,2,27.6,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 06:00 PM,2016,12,03,18,87,2,29.1,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 07:00 PM,2016,12,03,19,90,2,30.8,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 08:00 PM,2016,12,03,20,97,2,33.9,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 09:00 PM,2016,12,03,21,102,3,36.1,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 10:00 PM,2016,12,03,22,104,3,36.7,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-03 11:00 PM,2016,12,03,23,104,3,36.8,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 12:00 AM,2016,12,04,00,106,3,37.5,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 01:00 AM,2016,12,04,01,106,3,37.6,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 02:00 AM,2016,12,04,02,107,3,38.0,59.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 03:00 AM,2016,12,04,03,109,3,38.7,66.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 04:00 AM,2016,12,04,04,110,3,39.1,70.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 05:00 AM,2016,12,04,05,110,3,39.2,60.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 06:00 AM,2016,12,04,06,111,3,39.5,57.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 07:00 AM,2016,12,04,07,111,3,39.6,89.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 08:00 AM,2016,12,04,08,111,3,39.5,76.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 09:00 AM,2016,12,04,09,111,3,39.5,61.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 10:00 AM,2016,12,04,10,110,3,39.0,45.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 11:00 AM,2016,12,04,11,109,3,38.8,47.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 12:00 PM,2016,12,04,12,111,3,39.5,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 01:00 PM,2016,12,04,13,112,3,39.9,30.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 02:00 PM,2016,12,04,14,112,3,39.8,28.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 03:00 PM,2016,12,04,15,110,3,39.0,23.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 04:00 PM,2016,12,04,16,106,3,37.5,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 05:00 PM,2016,12,04,17,102,3,36.1,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 06:00 PM,2016,12,04,18,100,2,35.3,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 07:00 PM,2016,12,04,19,102,3,35.9,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 08:00 PM,2016,12,04,20,99,2,34.7,22.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 09:00 PM,2016,12,04,21,95,2,33.2,20.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 10:00 PM,2016,12,04,22,93,2,32.2,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-04 11:00 PM,2016,12,04,23,92,2,31.4,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 12:00 AM,2016,12,05,00,90,2,30.5,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 01:00 AM,2016,12,05,01,89,2,30.0,29.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 02:00 AM,2016,12,05,02,87,2,29.1,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 03:00 AM,2016,12,05,03,86,2,28.6,31.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 04:00 AM,2016,12,05,04,85,2,28.4,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 05:00 AM,2016,12,05,05,86,2,28.7,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 06:00 AM,2016,12,05,06,85,2,28.4,71.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 07:00 AM,2016,12,05,07,86,2,28.6,61.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 08:00 AM,2016,12,05,08,85,2,28.5,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 09:00 AM,2016,12,05,09,84,2,28.0,38.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 10:00 AM,2016,12,05,10,84,2,28.0,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 11:00 AM,2016,12,05,11,85,2,28.3,25.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 12:00 PM,2016,12,05,12,84,2,27.7,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 01:00 PM,2016,12,05,13,82,2,26.9,10.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 02:00 PM,2016,12,05,14,82,2,26.8,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 03:00 PM,2016,12,05,15,82,2,26.7,19.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-12-05 04:00 PM,2016,12,05,16,82,2,27.0,21.0,UG/M3,1 Hr,Valid
