Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 01:00 AM,2020,12,01,01,31.9,93,Moderate,39.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 02:00 AM,2020,12,01,02,33.9,97,Moderate,36.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 03:00 AM,2020,12,01,03,28.9,86,Moderate,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 04:00 AM,2020,12,01,04,38.9,109,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 05:00 AM,2020,12,01,05,41.5,116,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 06:00 AM,2020,12,01,06,42.2,117,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 07:00 AM,2020,12,01,07,41.1,115,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 08:00 AM,2020,12,01,08,37.5,106,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 09:00 AM,2020,12,01,09,35.2,100,Moderate,33.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 10:00 AM,2020,12,01,10,26.6,81,Moderate,18.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2020-12-01 11:00 AM,2020,12,01,11,20.8,69,Moderate,15.0,UG/M3,1 Hr,Valid
