day,time,tempC,windspeedKmph,weatherDesc,humidity,visibility
2016-12-01,0,26,5,Clear,89,10
2016-12-01,1,26,6,Clear,89,10
2016-12-01,2,25,7,Clear,90,10
2016-12-01,3,25,8,Clear,90,10
2016-12-01,4,25,8,Clear,90,10
2016-12-01,5,25,9,Clear,89,10
2016-12-01,6,25,9,Sunny,89,10
2016-12-01,7,26,10,Sunny,83,10
2016-12-01,8,28,12,Sunny,78,10
2016-12-01,9,29,13,Sunny,72,10
2016-12-01,10,30,12,Sunny,68,10
2016-12-01,11,31,11,Partly cloudy,64,10
2016-12-01,12,32,10,Partly cloudy,61,10
2016-12-01,13,31,10,Partly cloudy,65,9
2016-12-01,14,31,11,Moderate or heavy rain shower,69,8
2016-12-01,15,30,11,Moderate or heavy rain shower,74,7
2016-12-01,16,29,11,Moderate or heavy rain shower,76,7
2016-12-01,17,28,10,Moderate or heavy rain shower,79,7
2016-12-01,18,27,10,Moderate or heavy rain shower,82,7
2016-12-01,19,26,10,Moderate or heavy rain shower,82,8
2016-12-01,20,26,11,Partly cloudy,82,9
2016-12-01,21,26,12,Partly cloudy,82,10
2016-12-01,22,25,11,Partly cloudy,83,10
2016-12-01,23,25,10,Partly cloudy,84,10
2016-12-02,0,25,9,Partly cloudy,85,10
2016-12-02,1,25,9,Partly cloudy,86,10
2016-12-02,2,24,9,Clear,86,10
2016-12-02,3,24,9,Clear,87,10
2016-12-02,4,24,8,Clear,86,10
2016-12-02,5,24,7,Partly cloudy,86,10
2016-12-02,6,25,6,Partly cloudy,85,10
2016-12-02,7,26,8,Partly cloudy,80,10
2016-12-02,8,27,9,Partly cloudy,75,10
2016-12-02,9,29,10,Partly cloudy,70,10
2016-12-02,10,29,9,Partly cloudy,68,10
2016-12-02,11,29,8,Cloudy,67,10
2016-12-02,12,30,8,Cloudy,66,10
2016-12-02,13,29,6,Cloudy,70,10
2016-12-02,14,29,5,Partly cloudy,74,10
2016-12-02,15,28,4,Partly cloudy,79,10
2016-12-02,16,28,3,Partly cloudy,80,10
